Config,K,Recall_mean,Recall_std,NDCG_mean,NDCG_std,mAP_mean,mAP_std
Config_A_beta1.0,5,0.4973,0.0069,0.2369,0.0032,0.1753,0.0025
Config_A_beta1.0,10,0.5666,0.0076,0.2404,0.0021,0.1675,0.0015
Config_A_beta1.0,15,0.6048,0.0072,0.247,0.0022,0.1676,0.0013
Config_B_beta0.7,5,0.4882,0.0029,0.2321,0.0023,0.1722,0.002
Config_B_beta0.7,10,0.563,0.0059,0.2376,0.0016,0.1659,0.0012
Config_B_beta0.7,15,0.6084,0.007,0.2453,0.0018,0.1666,0.001
Config_B_beta0.5,5,0.4394,0.0032,0.2004,0.0023,0.1462,0.0021
Config_B_beta0.5,10,0.5229,0.0068,0.2083,0.0021,0.1422,0.0022
Config_B_beta0.5,15,0.5708,0.0078,0.217,0.0015,0.1435,0.0019
Config_C_beta0.7,5,0.8799,0.0037,0.6341,0.0037,0.5567,0.0045
Config_C_beta0.7,10,0.9206,0.0019,0.648,0.0028,0.5525,0.0039
Config_C_beta0.7,15,0.9377,0.0008,0.6624,0.0025,0.5582,0.0039
Config_C_beta0.5,5,0.8799,0.0037,0.6341,0.0037,0.5567,0.0045
Config_C_beta0.5,10,0.9206,0.0019,0.648,0.0028,0.5525,0.0039
Config_C_beta0.5,15,0.9377,0.0008,0.6624,0.0025,0.5582,0.0039
